age,gender,education_level,employment_status,monthly_income_usd,monthly_expenses_usd,savings_usd,loan_interest_rate_pct
19,0,4,0,3531.73,2367.99,260869.1,13.33
25,1,4,0,5894.88,4440.12,304815.51,23.93
62,1,2,0,4051.0,2244.42,194901.41,22.21
22,0,2,2,983.69,332.62,37522.56,26.95
61,1,2,0,5216.18,4369.36,203320.5,25.09
26,0,2,0,3677.43,2247.92,311546.91,16.43
65,0,1,0,5546.28,3630.24,453101.38,20.42
23,1,1,2,8237.77,7316.78,83622.72,7.58
49,0,0,0,7093.07,3500.65,723648.99,14.33
24,0,2,1,1694.87,604.03,118470.87,18.95
69,1,0,0,998.46,612.4,92532.51,4.4
57,0,3,0,2676.43,1507.85,28157.7,21.59
18,2,4,0,6561.08,2121.71,489775.18,10.04
22,1,0,1,5968.05,5178.58,561103.95,29.89
67,0,1,0,6715.76,5990.35,306664.24,29.62
23,0,0,0,5715.32,2095.91,341340.99,6.21
62,2,1,3,5687.15,1963.55,119125.28,21.82
28,1,3,3,1867.36,1255.01,63775.73,10.18
28,0,0,2,3770.92,2069.83,127007.45,29.99
51,1,0,0,3461.19,2105.77,326383.22,28.64
66,0,2,0,7928.51,4812.56,157372.59,5.28
32,0,4,0,3605.56,2230.97,312952.9,21.55
62,0,0,0,2457.83,1569.03,248428.48,12.26
23,0,2,0,1202.86,434.32,23286.97,27.21
32,0,0,3,2870.89,1594.1,176571.54,18.69
30,0,1,0,1995.91,674.67,237128.63,3.07
47,1,2,1,4742.29,4092.62,107794.57,25.35
68,0,2,0,500.0,288.6,56868.63,19.51
39,0,1,0,4111.45,2692.03,199822.72,3.13
43,0,0,0,6188.38,5266.76,439026.61,18.6
57,0,0,0,5033.34,2798.91,484278.3,18.86
19,0,0,0,3314.62,2708.28,376535.92,14.04
54,1,0,0,3250.36,1000.46,36918.93,18.74
28,1,0,1,5082.0,2734.06,582120.37,17.58
69,1,0,0,4265.87,2875.19,245455.57,22.03
35,0,0,2,500.0,186.16,44022.81,24.47
56,1,0,1,3441.0,1507.18,53415.83,13.92
21,0,0,1,5426.8,4228.94,649884.11,15.95
64,1,1,0,4094.03,3040.02,121047.06,11.0
65,1,3,0,2093.08,1829.04,200938.05,26.87
66,1,0,1,5016.38,1968.11,492212.1,19.01
28,0,0,0,3861.95,3317.24,341949.66,21.78
27,0,0,2,4836.51,2923.58,9472.99,20.06
41,0,1,0,4800.82,2999.36,554991.36,5.77
29,0,1,1,7693.61,2611.02,760095.88,15.04
46,0,1,3,2914.79,2343.4,271108.54,29.01
46,0,0,1,5754.2,4350.5,309260.01,8.75
50,0,1,0,6046.28,2113.21,599502.38,8.42
20,1,1,0,2929.53,984.94,89514.32,29.35
32,1,0,3,500.0,277.65,21148.54,26.41
37,1,1,0,6445.0,2133.41,497762.51,5.79
69,0,0,1,5006.86,2067.88,440716.54,9.89
32,1,0,1,5517.86,2461.46,614312.76,5.74
22,1,2,3,2174.1,1350.58,48698.49,13.55
42,2,1,1,500.0,367.36,1539.77,18.62
63,1,2,0,500.0,247.01,14063.39,21.08
49,0,2,1,3506.98,1452.57,26014.28,15.05
37,0,1,1,3367.18,2239.48,206786.62,9.14
42,1,0,1,2203.06,1462.28,202812.39,6.95
40,1,1,0,5097.06,3419.27,389532.25,7.69
44,1,2,0,4217.69,1809.9,11134.48,28.91
22,0,0,1,4473.92,1535.68,43241.78,12.54
55,1,0,3,5214.26,2759.2,133670.93,20.39
51,1,0,2,3522.93,2219.64,166888.07,21.25
49,1,0,2,7459.78,2721.08,616277.82,7.07
21,0,2,0,5568.07,3885.54,7925.2,7.9
